clave, nom, eta, value
g,ABANICO,001,21.84
g,ABANICO,002,21.84
g,ABANICO,003,21.84
g,ABANICO,004,21.84
g,ABANICO,005,21.84
g,ABANICO,006,21.84
g,ABANICO,007,21.84
g,ABANICO,008,21.84
g,ABANICO,009,21.84
g,ABANICO,010,21.84
g,ABANICO,011,21.84
g,ABANICO,012,21.84
g,ABANICO,013,21.84
g,ABANICO,014,21.84
g,ABANICO,015,21.84
g,ABANICO,016,21.84
g,ABANICO,017,21.84
g,ABANICO,018,21.84
g,ABANICO,019,21.84
g,ABANICO,020,21.84
g,ABANICO,021,21.84
g,ABANICO,022,21.84
g,ABANICO,023,21.84
g,ABANICO,024,21.84
g,ABANICO,025,21.84
g,ABANICO,026,21.84
g,ABANICO,027,21.84
g,ABANICO,028,21.84
g,ABANICO,029,21.84
g,ABANICO,030,21.84
g,ABANICO,031,21.84
g,ABANICO,032,21.84
g,ABANICO,033,21.84
g,ABANICO,034,21.84
g,ABANICO,035,21.84
g,ABANICO,036,21.84
g,ABANICO,037,21.84
g,ABANICO,038,21.84
g,ABANICO,039,21.84
g,ABANICO,040,21.84
g,ABANICO,041,21.84
g,ABANICO,042,21.84
g,ABANICO,043,21.84
g,ABANICO,044,21.84
g,ABANICO,045,21.84
g,ABANICO,046,21.84
g,ABANICO,047,21.84
g,ABANICO,048,21.84
g,ABANICO,049,21.84
g,ABANICO,050,21.84
g,ABANICO,051,21.84
g,ABANICO,052,21.84
g,ABANICO,053,21.84
g,ABANICO,054,21.84
g,ABANICO,055,21.84
g,ABANICO,056,21.84
g,ABANICO,057,21.84
g,ABANICO,058,21.84
g,ABANICO,059,21.84
g,ABANICO,060,21.84
g,ABANICO,061,21.84
g,ABANICO,062,21.84
g,ABANICO,063,21.84
g,ABANICO,064,21.84
g,ABANICO,065,21.84
g,ABANICO,066,21.84
g,ABANICO,067,21.84
g,ABANICO,068,21.84
g,ABANICO,069,21.84
g,ABANICO,070,21.84
g,ABANICO,071,21.84
g,ABANICO,072,21.84
g,ABANICO,073,21.84
g,ABANICO,074,21.84
g,ABANICO,075,21.84
g,ABANICO,076,21.84
g,ABANICO,077,21.84
g,ABANICO,078,21.84
g,ABANICO,079,21.84
g,ABANICO,080,21.84
g,ABANICO,081,21.84
g,ABANICO,082,21.84
g,ABANICO,083,21.84
g,ABANICO,084,21.84
g,ABANICO,085,21.84
g,ABANICO,086,21.84
g,ABANICO,087,21.84
g,ABANICO,088,21.84
g,ABANICO,089,21.84
g,ABANICO,090,21.84
g,ABANICO,091,21.84
g,ABANICO,092,21.84
g,ABANICO,093,21.84
g,ABANICO,094,21.84
g,ABANICO,095,21.84
g,ABANICO,096,21.84
g,ABANICO,097,21.84
g,ABANICO,098,21.84
g,ABANICO,099,21.84
g,ABANICO,100,21.84
g,ABANICO,101,21.84
g,ABANICO,102,21.84
g,ABANICO,103,21.84
g,ABANICO,104,21.84
g,ABANICO,105,21.84
g,ABANICO,106,21.84
g,ABANICO,107,21.84
g,ABANICO,108,21.84
g,ABANICO,109,21.84
g,ABANICO,110,21.84
g,ABANICO,111,21.84
g,ABANICO,112,21.84
g,ABANICO,113,21.84
g,ABANICO,114,21.84
g,ABANICO,115,21.84
g,ABANICO,116,21.84
g,ABANICO,117,21.84
g,ABANICO,118,21.84
