Object,Type,Property,Time,Value
CIPRESES,Generator,Generation,1,0.0
CIPRESES,Generator,Generation,2,0.0
CIPRESES,Generator,Generation,3,0.0
CIPRESES,Generator,Generation,4,0.0
CIPRESES,Generator,Generation,5,0.0
CIPRESES,Generator,Generation,6,0.0
CIPRESES,Generator,Generation,7,0.0
CIPRESES,Generator,Generation,8,0.0
CIPRESES,Generator,Generation,9,0.0
CIPRESES,Generator,Generation,10,0.0
CIPRESES,Generator,Generation,11,0.0
CIPRESES,Generator,Generation,12,0.0
CIPRESES,Generator,Generation,13,0.0
CIPRESES,Generator,Generation,14,0.0
CIPRESES,Generator,Generation,15,0.0
CIPRESES,Generator,Generation,16,0.0
CIPRESES,Generator,Generation,17,0.0
CIPRESES,Generator,Generation,18,0.0
CIPRESES,Generator,Generation,19,0.0
CIPRESES,Generator,Generation,20,0.0
CIPRESES,Generator,Generation,21,0.0
CIPRESES,Generator,Generation,22,0.0
CIPRESES,Generator,Generation,23,0.0
CIPRESES,Generator,Generation,24,0.0
CIPRESES,Generator,Generation,25,0.0
CIPRESES,Generator,Generation,26,0.0
CIPRESES,Generator,Generation,27,0.0
CIPRESES,Generator,Generation,28,0.0
CIPRESES,Generator,Generation,29,0.0
CIPRESES,Generator,Generation,30,0.0
CIPRESES,Generator,Generation,31,0.0
CIPRESES,Generator,Generation,32,0.0
CIPRESES,Generator,Generation,33,0.0
CIPRESES,Generator,Generation,34,0.0
CIPRESES,Generator,Generation,35,0.0
CIPRESES,Generator,Generation,36,0.0
CIPRESES,Generator,Generation,37,0.0
CIPRESES,Generator,Generation,38,0.0
CIPRESES,Generator,Generation,39,0.0
CIPRESES,Generator,Generation,40,0.0
CIPRESES,Generator,Generation,41,0.0
CIPRESES,Generator,Generation,42,0.0
CIPRESES,Generator,Generation,43,0.0
CIPRESES,Generator,Generation,44,0.0
CIPRESES,Generator,Generation,45,0.0
CIPRESES,Generator,Generation,46,0.0
CIPRESES,Generator,Generation,47,0.0
CIPRESES,Generator,Generation,48,0.0
CIPRESES,Generator,Generation,49,0.0
CIPRESES,Generator,Generation,50,0.0
CIPRESES,Generator,Generation,51,0.0
CIPRESES,Generator,Generation,52,0.0
CIPRESES,Generator,Generation,53,0.0
CIPRESES,Generator,Generation,54,0.0
CIPRESES,Generator,Generation,55,0.0
CIPRESES,Generator,Generation,56,0.0
CIPRESES,Generator,Generation,57,0.0
CIPRESES,Generator,Generation,58,0.0
CIPRESES,Generator,Generation,59,0.0
CIPRESES,Generator,Generation,60,0.0
CIPRESES,Generator,Generation,61,0.0
CIPRESES,Generator,Generation,62,0.0
CIPRESES,Generator,Generation,63,0.0
CIPRESES,Generator,Generation,64,0.0
CIPRESES,Generator,Generation,65,0.0
CIPRESES,Generator,Generation,66,0.0
CIPRESES,Generator,Generation,67,0.0
CIPRESES,Generator,Generation,68,0.0
CIPRESES,Generator,Generation,69,0.0
CIPRESES,Generator,Generation,70,0.0
CIPRESES,Generator,Generation,71,0.0
CIPRESES,Generator,Generation,72,0.0
CIPRESES,Generator,Generation,73,0.0
CIPRESES,Generator,Generation,74,0.0
CIPRESES,Generator,Generation,75,0.0
CIPRESES,Generator,Generation,76,0.0
CIPRESES,Generator,Generation,77,0.0
CIPRESES,Generator,Generation,78,0.0
CIPRESES,Generator,Generation,79,0.0
CIPRESES,Generator,Generation,80,0.0
CIPRESES,Generator,Generation,81,0.0
CIPRESES,Generator,Generation,82,0.0
CIPRESES,Generator,Generation,83,0.0
CIPRESES,Generator,Generation,84,0.0
CIPRESES,Generator,Generation,85,0.0
CIPRESES,Generator,Generation,86,0.0
CIPRESES,Generator,Generation,87,0.0
CIPRESES,Generator,Generation,88,0.0
CIPRESES,Generator,Generation,89,0.0
CIPRESES,Generator,Generation,90,0.0
CIPRESES,Generator,Generation,91,0.0
CIPRESES,Generator,Generation,92,0.0
CIPRESES,Generator,Generation,93,0.0
CIPRESES,Generator,Generation,94,0.0
CIPRESES,Generator,Generation,95,0.0
CIPRESES,Generator,Generation,96,0.0
CIPRESES,Generator,Generation,97,0.0
CIPRESES,Generator,Generation,98,0.0
CIPRESES,Generator,Generation,99,0.0
CIPRESES,Generator,Generation,100,0.0
CIPRESES,Generator,Generation,101,0.0
CIPRESES,Generator,Generation,102,0.0
CIPRESES,Generator,Generation,103,0.0
CIPRESES,Generator,Generation,104,0.0
CIPRESES,Generator,Generation,105,0.0
CIPRESES,Generator,Generation,106,0.0
CIPRESES,Generator,Generation,107,0.0
CIPRESES,Generator,Generation,108,0.0
