clave, nom, eta, value
v,ABANI,001,-7.1054273576e-15
v,ABANI,002,-7.1054273576e-15
v,ABANI,003,-7.1054273576e-15
v,ABANI,004,-7.1054273576e-15
v,ABANI,005,-7.1054273576e-15
v,ABANI,006,-7.1054273576e-15
v,ABANI,007,-7.1054273576e-15
v,ABANI,008,-7.1054273576e-15
v,ABANI,009,-7.1054273576e-15
v,ABANIC,010,-7.1054273576e-15
v,ABANIC,011,-7.1054273576e-15
v,ABANIC,012,-7.1054273576e-15
v,ABANIC,013,-7.1054273576e-15
v,ABANIC,014,-7.1054273576e-15
v,ABANIC,015,-7.1054273576e-15
v,ABANIC,016,-7.1054273576e-15
v,ABANIC,017,-7.1054273576e-15
v,ABANIC,018,-7.1054273576e-15
v,ABANIC,019,-7.1054273576e-15
v,ABANIC,020,-7.1054273576e-15
v,ABANIC,021,-7.1054273576e-15
v,ABANIC,022,-7.1054273576e-15
v,ABANIC,023,-7.1054273576e-15
v,ABANIC,024,-7.1054273576e-15
v,ABANIC,025,-7.1054273576e-15
v,ABANIC,026,-7.1054273576e-15
v,ABANIC,027,-7.1054273576e-15
v,ABANIC,028,-7.1054273576e-15
v,ABANIC,029,-7.1054273576e-15
v,ABANIC,030,-7.1054273576e-15
v,ABANIC,031,-7.1054273576e-15
v,ABANIC,032,-7.1054273576e-15
v,ABANIC,033,-7.1054273576e-15
v,ABANIC,034,-7.1054273576e-15
v,ABANIC,035,-7.1054273576e-15
v,ABANIC,036,-7.1054273576e-15
v,ABANIC,037,-7.1054273576e-15
v,ABANIC,038,-7.1054273576e-15
v,ABANIC,039,-7.1054273576e-15
v,ABANIC,040,-7.1054273576e-15
v,ABANIC,041,-7.1054273576e-15
v,ABANIC,042,-7.1054273576e-15
v,ABANIC,043,-7.1054273576e-15
v,ABANIC,044,-7.1054273576e-15
v,ABANIC,045,-7.1054273576e-15
v,ABANIC,046,-7.1054273576e-15
v,ABANIC,047,-7.1054273576e-15
v,ABANIC,048,-7.1054273576e-15
v,ABANIC,049,-7.1054273576e-15
v,ABANIC,050,-7.1054273576e-15
v,ABANIC,051,-7.1054273576e-15
v,ABANIC,052,-7.1054273576e-15
v,ABANIC,053,-7.1054273576e-15
v,ABANIC,054,-7.1054273576e-15
v,ABANIC,055,-7.1054273576e-15
v,ABANIC,056,-7.1054273576e-15
v,ABANIC,057,-7.1054273576e-15
v,ABANIC,058,-7.1054273576e-15
v,ABANIC,059,-7.1054273576e-15
v,ABANIC,060,-7.1054273576e-15
v,ABANIC,061,-7.1054273576e-15
v,ABANIC,062,-7.1054273576e-15
v,ABANIC,063,-7.1054273576e-15
v,ABANIC,064,-7.1054273576e-15
v,ABANIC,065,-7.1054273576e-15
v,ABANIC,066,-7.1054273576e-15
v,ABANIC,067,-7.1054273576e-15
v,ABANIC,068,-7.1054273576e-15
v,ABANIC,069,-7.1054273576e-15
v,ABANIC,070,-7.1054273576e-15
v,ABANIC,071,-7.1054273576e-15
v,ABANIC,072,-7.1054273576e-15
v,ABANIC,073,-7.1054273576e-15
v,ABANIC,074,-7.1054273576e-15
v,ABANIC,075,-7.1054273576e-15
v,ABANIC,076,-7.1054273576e-15
v,ABANIC,077,-7.1054273576e-15
v,ABANIC,078,-7.1054273576e-15
v,ABANIC,079,-7.1054273576e-15
v,ABANIC,080,-7.1054273576e-15
v,ABANIC,081,-7.1054273576e-15
v,ABANIC,082,-7.1054273576e-15
v,ABANIC,083,-7.1054273576e-15
v,ABANIC,084,-7.1054273576e-15
v,ABANIC,085,-7.1054273576e-15
v,ABANIC,086,-7.1054273576e-15
v,ABANIC,087,-7.1054273576e-15
v,ABANIC,088,-7.1054273576e-15
v,ABANIC,089,-7.1054273576e-15
v,ABANIC,090,-7.1054273576e-15
v,ABANIC,091,-7.1054273576e-15
v,ABANIC,092,-7.1054273576e-15
v,ABANIC,093,-7.1054273576e-15
v,ABANIC,094,-7.1054273576e-15
v,ABANIC,095,-7.1054273576e-15
v,ABANIC,096,-7.1054273576e-15
v,ABANIC,097,-7.1054273576e-15
v,ABANIC,098,-7.1054273576e-15
v,ABANIC,099,-7.1054273576e-15
v,ABANICO,100,-7.1054273576e-15
v,ABANICO,101,-7.1054273576e-15
v,ABANICO,102,-7.1054273576e-15
v,ABANICO,103,-7.1054273576e-15
v,ABANICO,104,-7.1054273576e-15
v,ABANICO,105,-7.1054273576e-15
v,ABANICO,106,-7.1054273576e-15
v,ABANICO,107,-7.1054273576e-15
v,ABANICO,108,-7.1054273576e-15
v,ABANICO,109,-7.1054273576e-15
v,ABANICO,110,-7.1054273576e-15
v,ABANICO,111,-7.1054273576e-15
v,ABANICO,112,-7.1054273576e-15
v,ABANICO,113,-7.1054273576e-15
v,ABANICO,114,-7.1054273576e-15
v,ABANICO,115,-7.1054273576e-15
v,ABANICO,116,-7.1054273576e-15
v,ABANICO,117,-7.1054273576e-15
v,ABANICO,118,-7.1054273576e-15
v,ABANICO,119,-7.1054273576e-15
v,ABANICO,120,-7.1054273576e-15
v,ABANICO,121,-7.1054273576e-15
v,ABANICO,122,-7.1054273576e-15
v,ABANICO,123,-7.1054273576e-15
v,ABANICO,124,-7.1054273576e-15
v,ABANICO,125,-7.1054273576e-15
v,ABANICO,126,-7.1054273576e-15
v,ABANICO,127,-7.1054273576e-15
v,ABANICO,128,-7.1054273576e-15
v,ABANICO,129,-7.1054273576e-15
v,ABANICO,130,-7.1054273576e-15
v,ABANICO,131,-7.1054273576e-15
v,ABANICO,132,-7.1054273576e-15
v,ABANICO,133,-7.1054273576e-15
v,ABANICO,134,-7.1054273576e-15
v,ABANICO,135,-7.1054273576e-15
v,ABANICO,136,-7.1054273576e-15
v,ABANICO,137,-7.1054273576e-15
v,ABANICO,138,-7.1054273576e-15
v,ABANICO,139,-7.1054273576e-15
v,ABANICO,140,-7.1054273576e-15
v,ABANICO,141,-7.1054273576e-15
v,ABANICO,142,-7.1054273576e-15
v,ABANICO,143,-7.1054273576e-15
v,ABANICO,144,-7.1054273576e-15
v,ABANICO,145,-7.1054273576e-15
v,ABANICO,146,-7.1054273576e-15
v,ABANICO,147,-7.1054273576e-15
v,ABANICO,148,-7.1054273576e-15
v,ABANICO,149,-7.1054273576e-15
v,ABANICO,150,-7.1054273576e-15
v,ABANICO,151,-7.1054273576e-15
v,ABANICO,152,-7.1054273576e-15
v,ABANICO,153,-7.1054273576e-15
v,ABANICO,154,-7.1054273576e-15
v,ABANICO,155,-7.1054273576e-15
v,ABANICO,156,-7.1054273576e-15
v,ABANICO,157,-7.1054273576e-15
