clave, nom, eta, value
c,ANGOSTURA,001,112557.39
c,ANGOSTURA,002,112557.39
c,ANGOSTURA,003,112396.775365
c,ANGOSTURA,004,112009.09771
c,ANGOSTURA,005,111598.298186
c,ANGOSTURA,006,111074.177565
c,ANGOSTURA,007,110934.760482
c,ANGOSTURA,008,110423.840803
c,ANGOSTURA,009,109972.352327
c,ANGOSTURA,010,110047.810161
c,ANGOSTURA,011,110123.267995
c,ANGOSTURA,012,110198.725828
c,ANGOSTURA,013,110274.183662
c,ANGOSTURA,014,110349.641496
c,ANGOSTURA,015,110425.09933
c,ANGOSTURA,016,110500.557164
c,ANGOSTURA,017,110576.014998
c,ANGOSTURA,018,110633.60732
c,ANGOSTURA,019,110709.065154
c,ANGOSTURA,020,110784.522988
c,ANGOSTURA,021,110859.980822
c,ANGOSTURA,022,110935.438656
c,ANGOSTURA,023,111010.89649
c,ANGOSTURA,024,111086.354324
c,ANGOSTURA,025,111161.812158
c,ANGOSTURA,026,111237.269992
c,ANGOSTURA,027,111285.837633
c,ANGOSTURA,028,111140.905852
c,ANGOSTURA,029,110996.156914
c,ANGOSTURA,030,110890.197032
c,ANGOSTURA,031,110817.329917
c,ANGOSTURA,032,110696.886603
c,ANGOSTURA,033,110721.317157
c,ANGOSTURA,034,110796.774991
c,ANGOSTURA,035,110872.232825
c,ANGOSTURA,036,110947.690659
c,ANGOSTURA,037,111023.148492
c,ANGOSTURA,038,111098.606326
c,ANGOSTURA,039,111174.06416
c,ANGOSTURA,040,111249.521994
c,ANGOSTURA,041,111324.979828
c,ANGOSTURA,042,111400.437662
c,ANGOSTURA,043,111475.895496
c,ANGOSTURA,044,111551.35333
c,ANGOSTURA,045,111626.811164
c,ANGOSTURA,046,111702.268998
c,ANGOSTURA,047,111777.726832
c,ANGOSTURA,048,111853.184666
c,ANGOSTURA,049,111928.6425
c,ANGOSTURA,050,112004.100334
c,ANGOSTURA,051,111951.983768
c,ANGOSTURA,052,111832.254223
c,ANGOSTURA,053,111738.587348
c,ANGOSTURA,054,111602.017198
c,ANGOSTURA,055,111482.163462
c,ANGOSTURA,056,110984.448433
c,ANGOSTURA,057,110446.766315
c,ANGOSTURA,058,110090.489015
c,ANGOSTURA,059,110002.405727
c,ANGOSTURA,060,110051.649075
c,ANGOSTURA,061,110105.396259
c,ANGOSTURA,062,110159.154509
c,ANGOSTURA,063,110215.392874
c,ANGOSTURA,064,110271.788773
c,ANGOSTURA,065,110324.751937
c,ANGOSTURA,066,110356.30068
c,ANGOSTURA,067,110366.274018
c,ANGOSTURA,068,110441.731852
c,ANGOSTURA,069,110517.189686
c,ANGOSTURA,070,110592.64752
c,ANGOSTURA,071,110668.105354
c,ANGOSTURA,072,110743.563188
c,ANGOSTURA,073,110754.862439
c,ANGOSTURA,074,110812.44422
c,ANGOSTURA,075,110707.606803
c,ANGOSTURA,076,110687.701747
c,ANGOSTURA,077,110664.366871
c,ANGOSTURA,078,110383.613634
c,ANGOSTURA,079,110459.071468
c,ANGOSTURA,080,110534.529302
c,ANGOSTURA,081,110609.987136
c,ANGOSTURA,082,110685.44497
c,ANGOSTURA,083,110760.902804
c,ANGOSTURA,084,110836.360638
c,ANGOSTURA,085,110911.818472
c,ANGOSTURA,086,110987.276306
c,ANGOSTURA,087,111062.73414
c,ANGOSTURA,088,111138.191974
c,ANGOSTURA,089,111213.649808
c,ANGOSTURA,090,111289.107642
c,ANGOSTURA,091,111364.565476
c,ANGOSTURA,092,111440.02331
c,ANGOSTURA,093,111515.481144
c,ANGOSTURA,094,111590.938978
c,ANGOSTURA,095,111666.396812
c,ANGOSTURA,096,111741.854646
c,ANGOSTURA,097,111785.15345
c,ANGOSTURA,098,111752.279739
c,ANGOSTURA,099,111623.058191
c,ANGOSTURA,100,111493.836643
c,ANGOSTURA,101,111364.615094
c,ANGOSTURA,102,111234.778206
c,ANGOSTURA,103,111177.867944
c,ANGOSTURA,104,111253.325778
