clave, nom, eta, value
W,CEMENTOS_BIOBIO_FO6,001,1.0
W,CEMENTOS_BIOBIO_FO6,002,1.0
W,CEMENTOS_BIOBIO_FO6,003,1.0
W,CEMENTOS_BIOBIO_FO6,004,1.0
W,CEMENTOS_BIOBIO_FO6,005,1.0
W,CEMENTOS_BIOBIO_FO6,006,1.0
W,CEMENTOS_BIOBIO_FO6,007,1.0
W,CEMENTOS_BIOBIO_FO6,008,1.0
W,CEMENTOS_BIOBIO_FO6,009,1.0
W,CEMENTOS_BIOBIO_FO6,010,1.0
W,CEMENTOS_BIOBIO_FO6,011,1.0
W,CEMENTOS_BIOBIO_FO6,012,1.0
W,CEMENTOS_BIOBIO_FO6,013,1.0
W,CEMENTOS_BIOBIO_FO6,014,1.0
W,CEMENTOS_BIOBIO_FO6,015,1.0
W,CEMENTOS_BIOBIO_FO6,016,1.0
W,CEMENTOS_BIOBIO_FO6,017,1.0
W,CEMENTOS_BIOBIO_FO6,018,1.0
W,CEMENTOS_BIOBIO_FO6,019,1.0
W,CEMENTOS_BIOBIO_FO6,020,1.0
W,CEMENTOS_BIOBIO_FO6,021,1.0
W,CEMENTOS_BIOBIO_FO6,022,1.0
W,CEMENTOS_BIOBIO_FO6,023,1.0
W,CEMENTOS_BIOBIO_FO6,024,1.0
W,CEMENTOS_BIOBIO_FO6,025,1.0
W,CEMENTOS_BIOBIO_FO6,026,1.0
W,CEMENTOS_BIOBIO_FO6,027,1.0
W,CEMENTOS_BIOBIO_FO6,028,1.0
W,CEMENTOS_BIOBIO_FO6,029,1.0
W,CEMENTOS_BIOBIO_FO6,030,1.0
W,CEMENTOS_BIOBIO_FO6,031,1.0
W,CEMENTOS_BIOBIO_FO6,032,1.0
W,CEMENTOS_BIOBIO_FO6,033,1.0
W,CEMENTOS_BIOBIO_FO6,034,1.0
W,CEMENTOS_BIOBIO_FO6,035,1.0
W,CEMENTOS_BIOBIO_FO6,036,1.0
W,CEMENTOS_BIOBIO_FO6,037,1.0
W,CEMENTOS_BIOBIO_FO6,038,1.0
W,CEMENTOS_BIOBIO_FO6,039,1.0
W,CEMENTOS_BIOBIO_FO6,040,1.0
W,CEMENTOS_BIOBIO_FO6,041,1.0
W,CEMENTOS_BIOBIO_FO6,042,1.0
W,CEMENTOS_BIOBIO_FO6,043,1.0
W,CEMENTOS_BIOBIO_FO6,044,1.0
W,CEMENTOS_BIOBIO_FO6,045,1.0
W,CEMENTOS_BIOBIO_FO6,046,1.0
W,CEMENTOS_BIOBIO_FO6,047,1.0
W,CEMENTOS_BIOBIO_FO6,048,1.0
W,CEMENTOS_BIOBIO_FO6,049,1.0
W,CEMENTOS_BIOBIO_FO6,050,1.0
W,CEMENTOS_BIOBIO_FO6,051,1.0
W,CEMENTOS_BIOBIO_FO6,052,1.0
W,CEMENTOS_BIOBIO_FO6,053,1.0
W,CEMENTOS_BIOBIO_FO6,054,1.0
W,CEMENTOS_BIOBIO_FO6,055,1.0
W,CEMENTOS_BIOBIO_FO6,056,1.0
W,CEMENTOS_BIOBIO_FO6,057,1.0
W,CEMENTOS_BIOBIO_FO6,058,1.0
W,CEMENTOS_BIOBIO_FO6,059,1.0
W,CEMENTOS_BIOBIO_FO6,060,1.0
W,CEMENTOS_BIOBIO_FO6,061,1.0
W,CEMENTOS_BIOBIO_FO6,062,1.0
W,CEMENTOS_BIOBIO_FO6,063,1.0
W,CEMENTOS_BIOBIO_FO6,064,1.0
W,CEMENTOS_BIOBIO_FO6,065,1.0
W,CEMENTOS_BIOBIO_FO6,066,1.0
W,CEMENTOS_BIOBIO_FO6,067,1.0
W,CEMENTOS_BIOBIO_FO6,068,1.0
W,CEMENTOS_BIOBIO_FO6,069,1.0
W,CEMENTOS_BIOBIO_FO6,070,1.0
W,CEMENTOS_BIOBIO_FO6,071,1.0
W,CEMENTOS_BIOBIO_FO6,072,1.0
W,CEMENTOS_BIOBIO_FO6,073,1.0
W,CEMENTOS_BIOBIO_FO6,074,1.0
W,CEMENTOS_BIOBIO_FO6,075,1.0
W,CEMENTOS_BIOBIO_FO6,076,1.0
W,CEMENTOS_BIOBIO_FO6,077,1.0
W,CEMENTOS_BIOBIO_FO6,078,1.0
W,CEMENTOS_BIOBIO_FO6,079,1.0
W,CEMENTOS_BIOBIO_FO6,080,1.0
W,CEMENTOS_BIOBIO_FO6,081,1.0
W,CEMENTOS_BIOBIO_FO6,082,1.0
W,CEMENTOS_BIOBIO_FO6,083,1.0
W,CEMENTOS_BIOBIO_FO6,084,1.0
W,CEMENTOS_BIOBIO_FO6,085,1.0
W,CEMENTOS_BIOBIO_FO6,086,1.0
W,CEMENTOS_BIOBIO_FO6,087,1.0
W,CEMENTOS_BIOBIO_FO6,088,1.0
W,CEMENTOS_BIOBIO_FO6,089,1.0
W,CEMENTOS_BIOBIO_FO6,090,1.0
W,CEMENTOS_BIOBIO_FO6,091,1.0
W,CEMENTOS_BIOBIO_FO6,092,1.0
W,CEMENTOS_BIOBIO_FO6,093,1.0
W,CEMENTOS_BIOBIO_FO6,094,1.0
W,CEMENTOS_BIOBIO_FO6,095,1.0
W,CEMENTOS_BIOBIO_FO6,096,1.0
W,CEMENTOS_BIOBIO_FO6,097,1.0
W,CEMENTOS_BIOBIO_FO6,098,1.0
W,CEMENTOS_BIOBIO_FO6,099,1.0
W,CEMENTOS_BIOBIO_FO6,100,1.0
W,CEMENTOS_BIOBIO_FO6,101,1.0
W,CEMENTOS_BIOBIO_FO6,102,1.0
W,CEMENTOS_BIOBIO_FO6,103,1.0
W,CEMENTOS_BIOBIO_FO6,104,1.0
W,CEMENTOS_BIOBIO_FO6,105,1.0
W,CEMENTOS_BIOBIO_FO6,106,1.0
W,CEMENTOS_BIOBIO_FO6,107,1.0
W,CEMENTOS_BIOBIO_FO6,108,1.0
W,CEMENTOS_BIOBIO_FO6,109,1.0
W,CEMENTOS_BIOBIO_FO6,110,1.0
W,CEMENTOS_BIOBIO_FO6,111,1.0
W,CEMENTOS_BIOBIO_FO6,112,1.0
W,CEMENTOS_BIOBIO_FO6,113,1.0
W,CEMENTOS_BIOBIO_FO6,114,1.0
W,CEMENTOS_BIOBIO_FO6,115,1.0
W,CEMENTOS_BIOBIO_FO6,116,1.0
W,CEMENTOS_BIOBIO_FO6,117,1.0
W,CEMENTOS_BIOBIO_FO6,118,1.0
W,CEMENTOS_BIOBIO_FO6,119,1.0
W,CEMENTOS_BIOBIO_FO6,120,1.0
W,CEMENTOS_BIOBIO_FO6,121,1.0
W,CEMENTOS_BIOBIO_FO6,122,1.0
W,CEMENTOS_BIOBIO_FO6,123,1.0
W,CEMENTOS_BIOBIO_FO6,124,1.0
W,CEMENTOS_BIOBIO_FO6,125,1.0
W,CEMENTOS_BIOBIO_FO6,126,1.0
W,CEMENTOS_BIOBIO_FO6,127,1.0
W,CEMENTOS_BIOBIO_FO6,128,1.0
W,CEMENTOS_BIOBIO_FO6,129,1.0
W,CEMENTOS_BIOBIO_FO6,130,1.0
W,CEMENTOS_BIOBIO_FO6,131,1.0
W,CEMENTOS_BIOBIO_FO6,132,1.0
W,CEMENTOS_BIOBIO_FO6,133,1.0
W,CEMENTOS_BIOBIO_FO6,134,1.0
W,CEMENTOS_BIOBIO_FO6,135,1.0
W,CEMENTOS_BIOBIO_FO6,136,1.0
W,CEMENTOS_BIOBIO_FO6,137,1.0
W,CEMENTOS_BIOBIO_FO6,138,1.0
W,CEMENTOS_BIOBIO_FO6,139,1.0
W,CEMENTOS_BIOBIO_FO6,140,1.0
W,CEMENTOS_BIOBIO_FO6,141,1.0
W,CEMENTOS_BIOBIO_FO6,142,1.0
W,CEMENTOS_BIOBIO_FO6,143,1.0
W,CEMENTOS_BIOBIO_FO6,144,1.0
